,id,width,depth,height,weight,volume
0,202283,321,211,330,310,22351230
1,196769,372,205,107,4,8159820
2,561353,230,164,70,1009,2640400
3,223165,349,268,277,87,25908364
4,623587,224,197,153,9,6751584
5,950110,208,138,127,118,3645408
6,535822,303,174,192,2,10122624
7,487879,189,158,87,2,2597994
8,564685,338,271,189,20,17312022
9,782038,276,188,525,3,27241200
10,353531,271,226,177,31,10840542
11,263160,476,361,198,2,34023528
12,579879,337,213,156,2,11197836
13,220884,500,308,142,10,21868000
14,23247,333,285,106,33,10059930
15,24300,482,309,272,40,40511136
16,467281,498,356,280,26,49640640
17,607086,239,156,217,49,8090628
18,533556,310,179,431,12,23916190
19,348951,337,226,104,11,7920848
20,274329,253,129,176,56,5744112
21,719064,229,139,173,2,5506763
22,742139,371,182,144,2,9723168
23,432315,480,273,252,116,33022080
24,926075,416,334,149,2,20702656
25,516588,228,136,229,35,7100832
26,236584,343,200,266,26,18247600
27,562332,519,423,255,20,55981935
28,837646,322,156,221,2,11101272
29,978732,374,246,299,2,27509196
30,376896,509,253,527,2,67865479
31,48984,346,306,139,7,14716764
32,302918,280,198,166,3,9203040
33,264712,505,363,165,371,30246975
34,120151,418,323,178,2,24032492
35,455808,290,166,146,19,7028440
36,985067,596,383,70,7,15978760
37,133767,220,141,205,33,6359100
38,648663,197,171,125,2,4210875
39,703550,430,337,216,18,31300560
40,136330,285,233,306,16,20319930
41,480754,220,207,290,9,13206600
42,301648,259,173,184,2,8244488
43,688519,353,247,182,2,15868762
44,13986,341,246,183,17,15351138
45,586146,409,271,176,2,19507664
46,129312,257,208,146,21,7804576
47,12666,411,268,274,2,30180552
48,300804,428,361,328,5,50678624
49,134633,511,285,438,102,63788130
50,288998,201,166,170,3,5672220
51,850937,582,333,208,2,40311648
52,628776,474,279,129,2,17059734
53,707611,282,187,160,2,8437440
54,284806,352,220,112,5,8673280
55,794824,395,223,164,18,14445940
56,30535,195,176,65,7,2230800
57,996107,390,247,239,5,23022870
58,375713,370,298,216,2,23816160
59,838688,253,165,247,7,10311015
60,351279,333,190,134,8,8478180
61,913910,342,244,237,4,19777176
62,821654,547,378,175,14,36184050
63,601661,444,271,200,26,24064800
64,997079,253,181,310,5,14195830
65,647972,476,326,162,2,25138512
66,489570,299,211,107,2,6750523
67,456551,350,225,114,3,8977500
68,273109,475,378,172,4,30882600
69,24538,363,258,192,5,17981568
70,894498,370,271,133,24,13335910
71,201664,344,302,179,2,18595952
72,491234,464,369,281,17,48111696
73,899684,308,243,124,25,9280656
74,139182,279,206,167,13,9598158
75,472525,422,245,356,90,36806840
76,158338,604,457,345,2,95229660
77,184064,333,264,165,2,14505480
78,214020,393,335,157,2,20669835
79,623094,294,211,150,2,9305100
80,924414,366,162,279,17,16542468
81,897421,480,286,130,4,17846400
82,615270,340,246,166,33,13884240
83,645914,153,123,157,38,2954583
84,119176,505,374,181,61,34185470
85,917710,550,376,173,2,35776400
86,218126,224,176,257,57,10131968
87,218969,276,200,207,4,11426400
88,122409,492,231,329,3,37391508
89,547707,351,256,235,9,21116160
90,968140,292,219,158,88,10103784
91,253618,713,482,295,3,101381470
92,769598,226,138,119,88,3711372
93,50015,312,230,288,24,20666880
94,772838,342,172,140,12,8235360
95,122096,559,368,216,2,44433792
96,631347,356,283,147,2,14809956
97,185340,466,275,205,46,26270750
98,110687,383,305,177,18,20676255
99,874371,337,193,92,110,5983772
